2048
Cookie-Clicker
Tic-Tac-Toe-Monte-Carlo
Yahtzee
Zombie-Apocalypse-BFS
Word-Wrangler
Tic-Tac-Toe-based-on-Minimax-method
The-Fifteen-Puzzle
